district,presidential,parliamentary
KOBOKO,34410,24974
MBARARA,86273,47362
NGORA,24662,17220
SOROTI,46621,28671
MARACHA,33674,38912
LUWEERO,41166,43366
JINJA,44207,44877
GULU,23683,11659
KAYUNGA,35881,37585
KARENGA,12819,7322
MANAFWA,32999,26409
LAMWO,19322,16393
SHEEMA,65220,40742
KIBAALE,35804,0
KAMWENGE,85241,0
KAMULI,57470,56550
BUTAMBALA,9379,12040
NAKAPIRIPIRIT,22029,11853
KAPCHORWA,30590,21994
KABERAMAIDO,43145,35202
KYANKWANZI,39859,25877
OBONGI,7676,6726
KAPELEBYONG,17529,9566
KIRYANDONGO,38083,30248
NTUNGAMO,161655,117786
IBANDA,77521,51388
ISINGIRO,188609,104680
BULAMBULI,38972,31780
MPIGI,22333,22159
AGAGO,47696,27231
BUNYANGABU,44435,31353
ADJUMANI,35125,22241
BUNDIBUGYO,52408,40664
MASAKA,24580,27647
OTUKE,25464,15838
MASINDI,55604,27983
RWAMPARA,35981,21267
NTOROKO,19670,9963
LUUKA,27520,33069
NAMUTUMBA,38427,35494
BUSHENYI,66572,46680
BUGIRI,45980,47341
BUHWEJU,41423,24192
NABILATUK,16038,0
KASESE,109275,97155
ABIM,18254,14738
OMORO,21819,16831
KALIRO,38189,29164
PAKWACH,32354,21586
RUBIRIZI,39686,25249
AMURU,18742,11555
GOMBA,24568,21184
WAKISO,122505,89658
KAKUMIRO,73132,49483
PADER,28233,9305
MAYUGE,50932,55786
BUTEBO,23532,16747
ALEBTONG,42832,29499
KITAGWENDA,40417,27538
RUKUNGIRI,77410,49865
KIBOGA,24254,27770
MITOOMA,54935,49810
SERERE,38555,22504
BUSIA,44679,36278
BUIKWE,40900,31159
NAKASONGOLA,35823,32358
LYANTONDE,23967,13721
KAGADI,88830,57097
RUKIGA,31251,10550
NAPAK,32490,24396
MADI OKOLLO,25779,18192
SSEMBABULE,45234,27432
APAC,31908,19538
SIRONKO,43275,23678
KALANGALA,5275,6884
KAABONG,26100,16672
KAMPALA,128658,83928
BUGWERI,17428,13141
MOROTO,21342,12625
IGANGA,35660,28445
KITGUM,26880,16863
KALUNGU,17105,17881
RAKAI,56867,29587
PALLISA,53788,34144
KAZO,73043,17733
MUKONO,48062,38221
KIRUHURA,75483,31851
KYENJOJO,110869,77282
DOKOLO,36774,24713
BUYENDE,47916,42562
BUKEDEA,37590,31829
BUKWO,27888,15040
NEBBI,47285,33009
MOYO,18227,14316
LIRA,67179,35164
ARUA,88108,50259
AMOLATAR,38619,20948
NAMISINDWA,40563,21799
RUBANDA,67263,38173
BULIISA,19316,12340
KASSANDA,37265,32742
NAKASEKE,38009,16928
MITYANA,38163,36604
AMUDAT,30451,16241
KISORO,98694,62587
KUMI,38234,34844
NAMAYINGO,27341,16543
TORORO,86248,74848
ZOMBO,45578,45494
KIBUKU,34078,31083
KABAROLE,75811,51824
KOLE,46900,17180
AMURIA,34666,35316
KWEEN,27467,21053
YUMBE,50686,40837
KYOTERA,16019,28744
KOTIDO,32310,22174
NWOYA,13910,10005
BUVUMA,6814,12151
OYAM,62292,28399
MBALE,66823,50196
KWANIA,36364,21622
BUDUDA,29224,19220
KYEGEGWA,69129,32687
KANUNGU,72126,52668
KABALE,75032,48036
BUKOMANSIMBI,13649,10386
KIKUUBE,49490,31374
BUTALEJA,37856,37205
LWENGO,37412,32493
MUBENDE,71834,58901
BUDAKA,33261,18847
KATAKWI,40777,30273
HOIMA,58182,19890
